ZIP,FEEDEVV,FOODPANTRY,MEALVOUCHER,OTHER,TEMP,MORTGAGE,RENT,MEDICINE,CHRISTMAS,MISC,GAS,OTHER,FULL,PART,QUARTER
47708,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
47710,29,0,0,0,0,1,15,0,0,0,0,0,5,6,4
47711,62,0,0,0,0,0,21,0,1,0,0,0,11,4,4
47712,15,0,0,0,0,0,7,0,0,0,0,0,1,0,4
47713,24,0,0,0,0,0,17,0,0,0,0,0,6,1,4
47714,61,0,0,0,0,0,38,0,2,1,0,0,11,7,4
47715,35,0,0,0,0,0,5,0,0,0,0,0,1,0,4
47720,18,0,0,0,0,0,5,0,0,0,0,0,0,0,4
47725,11,0,0,0,0,0,0,0,0,0,0,0,0,0,4
47601,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4
47610,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4
47613,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4
47619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
47630,8,0,0,0,0,0,6,0,0,0,0,0,3,3,4
47637,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
47523,1,7,0,0,0,0,1,0,0,0,0,0,0,1,4
47531,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4
47537,0,8,0,0,0,0,0,0,0,0,0,0,1,0,4
47550,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
47577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
47579,0,1,0,0,0,0,0,0,0,0,0,0,0,2,4
47588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
47611,0,16,0,0,0,0,0,0,0,0,0,0,1,1,4
47615,0,43,0,0,0,0,1,0,0,0,0,0,0,1,4
47634,0,57,0,0,0,0,1,0,0,0,0,0,0,2,4
47635,0,131,0,1,0,0,2,0,0,0,0,0,1,8,4
47631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
47633,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4
47638,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
47620,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4
47640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
47666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
47665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
47670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
47649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
47660,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
47648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
47639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
42461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
42462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
42406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
42420,2,0,0,0,0,0,2,0,0,0,0,0,0,0,4
